product_name,brands,brands_tags,categories,categories_tags,categories_en,origins,origins_tags,origins_en,countries,countries_tags,countries_en,image_url,image_ingredients_url,image_nutrition_url,energy-kcal_100g,fat_100g,saturated-fat_100g,unsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,fiber_100g,soluble-fiber_100g,insoluble-fiber_100g,proteins_100g,salt_100g,added-salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-b12_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,cocoa_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
Extra large eggs,,,"Farming products, Eggs","en:farming-products,en:eggs","Farming products,Eggs",,,,Japan,en:japan,Japan,https://images.openfoodfacts.org/images/products/007/438/800/1508/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/007/438/800/1508/ingredients_en.8.400.jpg,https://images.openfoodfacts.org/images/products/007/438/800/1508/nutrition_en.9.400.jpg,143.0,8.93,3.57,,,,,,,0.0,0.0,,,,,,0.0,,,12.5,0.357,,0.143,,,,1.96e-06,,,,,,,,,,,0.143,,0.0536,,0.00179,,,,,,,,,,,,,
Curry sauce with vegetables,S&B,s-b,"Condiments, Sauces, Groceries","en:condiments,en:sauces,en:groceries","Condiments,Sauces,Groceries",,,,"Frankreich,Deutschland,Vereinigte Staaten von Amerika,Japan","en:france,en:germany,en:japan,en:united-states","France,Germany,Japan,United States",,,,86.0,3.33,1.9,,,,,0.0,0.0,13.81,4.76,,,,,,0.0,,,0.0,0.965,,0.386,,0.0001071,,,,,0.0,,,,,,,,,,0.019,,0.00034,,,,,,,,,,,,,
Méli-mélo,,,,,,,,,"France,Japan,Switzerland","en:france,en:japan,en:switzerland","France,Japan,Switzerland",https://images.openfoodfacts.org/images/products/007/620/000/0140/front_de.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"House foods, vermont curry soup mix, apple & honey","House Foods,House Foods Corporation","house-foods,house-foods-corporation","Condiments, Sauces, Curry pastes, Groceries","en:condiments,en:sauces,en:curry-pastes,en:groceries","Condiments,Sauces,Curry pastes,Groceries",,,,"United States,Japan","en:japan,en:united-states","Japan,United States",https://images.openfoodfacts.org/images/products/007/737/704/8690/front_en.8.400.jpg,,,526.0,36.84,18.42,,,,,,,47.37,15.79,,,,,,5.3,,,5.26,11.58,,4.632,,,,,,,,,,,,,,,,,0.053,,0.00189,,,,,,,,,,,,,
"Cheese with peanut butter sandwich crackers, peanut butter",Austin,austin,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits","Snacks,Sweet snacks,Biscuits and cakes,Biscuits",,,,"Japan, United States","en:japan,en:united-states","Japan,United States",https://images.openfoodfacts.org/images/products/007/978/340/6125/front_en.3.400.jpg,,,487.0,23.08,3.85,,,,,0.0,0.0,61.54,10.26,,,,,,2.6,1.0,0.0,10.26,2.0975,,0.839,,,,,,,0.0,0.0,0.00031,,9e-05,0.000113,0.0,,0.0,,0.0,0.236,0.00277,0.038,0.0008,,,,,,,,,,,
,Hengstenberg,hengstenberg,,,,,,,en:Japan,en:japan,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Whiskey,Jack Daniel's,jack-daniel-s,Tennessee whiskey,"en:beverages,en:alcoholic-beverages,en:distilled-beverages,en:hard-liquors,en:eaux-de-vie,en:whisky,en:american-whiskeys,en:tennessee-whiskey","Beverages,Alcoholic beverages,Distilled beverages,Hard liquors,Eaux de vie,Whisky,American whiskeys,Tennessee whiskey",,,,Japan,en:japan,Japan,https://images.openfoodfacts.org/images/products/008/218/404/5954/front_en.7.400.jpg,,https://images.openfoodfacts.org/images/products/008/218/404/5954/nutrition_en.13.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アソートビスケット,"ミスケイト,Miss Kate","ミスケイト,miss-kate","en:Snacks, en:Sweet snacks, en:Biscuits and cakes, ビスケット","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits","Snacks,Sweet snacks,Biscuits and cakes,Biscuits",,,,Japan,en:japan,Japan,,https://images.openfoodfacts.org/images/products/008/450/112/3321/ingredients_ja.6.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Japan,en:japan,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsalted Mixed Nuts,"Kirkland, Kirkland Signature","kirkland,kirkland-signature","en:Plant-based foods and beverages, en:Plant-based foods, en:Nuts and their products, en:Nuts","en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products,en:nuts","Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts",,,,en:Japan,en:japan,Japan,https://images.openfoodfacts.org/images/products/009/661/917/9206/front_en.3.400.jpg,,https://images.openfoodfacts.org/images/products/009/661/917/9206/nutrition_en.6.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Rice & Quinoa,Kirkland,kirkland,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Rices, Brown rices","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:rices,en:brown-rices","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Rices,Brown rices",,,,"United States,Japan,en:United States","en:japan,en:united-states","Japan,United States",https://images.openfoodfacts.org/images/products/009/661/922/8560/front_en.13.400.jpg,https://images.openfoodfacts.org/images/products/009/661/922/8560/ingredients_en.14.400.jpg,https://images.openfoodfacts.org/images/products/009/661/922/8560/nutrition_en.9.400.jpg,157.0,3.57,0.0,,,,,,0.0,26.4,0.714,,,,,,5.0,,,5.71,0.536,,0.214,,,,,,,,,,,,,,,0.264,,,,,,,,,,,,,,,,,
Spring Water,Kirkland,kirkland,"en:Beverages, en:Waters","en:beverages,en:waters","Beverages,Waters",,,,Japan,en:japan,Japan,https://images.openfoodfacts.org/images/products/009/661/933/4292/front_ja.11.400.jpg,https://images.openfoodfacts.org/images/products/009/661/933/4292/ingredients_ja.13.400.jpg,https://images.openfoodfacts.org/images/products/009/661/933/4292/nutrition_ja.5.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
