product_name,brands,brands_tags,categories,categories_tags,categories_en,origins,origins_tags,origins_en,countries,countries_tags,countries_en,image_url,image_ingredients_url,image_nutrition_url,energy-kcal_100g,fat_100g,saturated-fat_100g,unsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,fiber_100g,soluble-fiber_100g,insoluble-fiber_100g,proteins_100g,salt_100g,added-salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-b12_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,cocoa_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
Strawberry Yughurt [only one image],"Richesse,ริชเชส","richesse,ริชเชส","Dairies, Desserts, Fermented foods, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Fruit yogurts, Strawberry yogurts","en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:fermented-dairy-desserts,en:fermented-dairy-desserts-with-fruits,en:yogurts,en:fruit-yogurts,en:strawberry-yogurts","Dairies,Fermented foods,Desserts,Fermented milk products,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts,Strawberry yogurts",,,,Thailand,en:thailand,Thailand,https://images.openfoodfacts.org/images/products/885/251/200/2063/front_en.3.400.jpg,,,96.2962962962963,0.740740740740741,,,,,,,,18.5185185185185,,,,,,,0.74074074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
โยเกิร์ตผสมวุ้นมะพร้าว สูตรลดปริมาณน้ำตาล 33%,Richesse,richesse,"ผลิตภัณฑ์จากนม, en:Desserts, อาหารหมัก, กลุ่มผลิตภัณฑ์นมเปรี้ยว, en:Dairy desserts, en:Fermented dairy desserts, นมเปรี้ยว","en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts","Dairies,Fermented foods,Desserts,Fermented milk products,Dairy desserts,Fermented dairy desserts,Yogurts",,,,Thailand,en:thailand,Thailand,https://images.openfoodfacts.org/images/products/885/251/200/2094/front_th.3.400.jpg,https://images.openfoodfacts.org/images/products/885/251/200/2094/ingredients_th.8.400.jpg,https://images.openfoodfacts.org/images/products/885/251/200/2094/nutrition_th.5.400.jpg,74.1,1.85,1.48,,,,,,0.0037,12.6,8.89,,,,,,0.0,,,2.22,0.176,,0.0704,,0.000222,,2.37e-06,,,,0.000267,0.000378,,0.00037,,2.67e-07,,,,0.111,,0.0,,,,,,,,,,,,,
นมเปรี้ยวรสธรรมชาติ,"ริชเชส,Richesse","ริชเชส,richesse","เครื่องดื่ม, ผลิตภัณฑ์จากนม, en:Desserts, อาหารหมัก, กลุ่มผลิตภัณฑ์นมเปรี้ยว, en:Dairy desserts, en:Dairy drinks, en:Fermented dairy desserts, en:Fermented drinks, en:Fermented milk drinks, นมเปรี้ยว, en:Drinkable yogurts","en:beverages,en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:fermented-milk-drinks,en:yogurts,en:drinkable-yogurts","Beverages,Dairies,Fermented foods,Desserts,Fermented milk products,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented milk drinks,Yogurts,Drinkable yogurts",,,,Thailand,en:thailand,Thailand,https://images.openfoodfacts.org/images/products/885/251/210/4002/front_th.4.400.jpg,https://images.openfoodfacts.org/images/products/885/251/210/4002/ingredients_th.12.400.jpg,https://images.openfoodfacts.org/images/products/885/251/210/4002/nutrition_th.10.400.jpg,70.0,1.0,0.5,,,,,,,13.5,11.5,,,,,,0.0,,,2.0,0.237,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นมเปรี้ยวโยเกิร์ต รสส้ม,,,,,,,,,en:Thailand,en:thailand,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นมเปรี้ยวรสผลไม้รวม,"ริชเชส,Richesse","ริชเชส,richesse","เครื่องดื่ม, ผลิตภัณฑ์จากนม, en:Desserts, อาหารหมัก, กลุ่มผลิตภัณฑ์นมเปรี้ยว, en:Dairy desserts, en:Dairy drinks, en:Fermented dairy desserts, en:Fermented drinks, en:Fermented milk drinks, นมเปรี้ยว, en:Drinkable yogurts","en:beverages,en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:fermented-milk-drinks,en:yogurts,en:drinkable-yogurts","Beverages,Dairies,Fermented foods,Desserts,Fermented milk products,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented milk drinks,Yogurts,Drinkable yogurts",,,,Thailand,en:thailand,Thailand,https://images.openfoodfacts.org/images/products/885/251/210/4026/front_th.4.400.jpg,https://images.openfoodfacts.org/images/products/885/251/210/4026/ingredients_th.12.400.jpg,https://images.openfoodfacts.org/images/products/885/251/210/4026/nutrition_th.10.400.jpg,70.0,1.0,0.75,,,,,,,13.5,11.5,,,,,,0.5,,,2.0,0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นมเปรี้ยวรสสตอเบอรรี่,"ริชเชส,Richesse","ริชเชส,richesse","เครื่องดื่ม, ผลิตภัณฑ์จากนม, en:Desserts, อาหารหมัก, กลุ่มผลิตภัณฑ์นมเปรี้ยว, en:Dairy desserts, en:Dairy drinks, en:Fermented dairy desserts, en:Fermented drinks, en:Fermented milk drinks, นมเปรี้ยว, en:Drinkable yogurts","en:beverages,en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:fermented-milk-drinks,en:yogurts,en:drinkable-yogurts","Beverages,Dairies,Fermented foods,Desserts,Fermented milk products,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented milk drinks,Yogurts,Drinkable yogurts",,,,Thailand,en:thailand,Thailand,https://images.openfoodfacts.org/images/products/885/251/210/4064/front_th.4.400.jpg,https://images.openfoodfacts.org/images/products/885/251/210/4064/ingredients_th.12.400.jpg,https://images.openfoodfacts.org/images/products/885/251/210/4064/nutrition_th.10.400.jpg,75.0,1.0,0.75,,,,,,,14.0,12.5,,,,,,0.5,,,2.0,0.237,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นมเปรี้ยวรสบลูเบอร์รี่,"ริชเชส,Richesse","ริชเชส,richesse","เครื่องดื่ม, ผลิตภัณฑ์จากนม, en:Desserts, อาหารหมัก, กลุ่มผลิตภัณฑ์นมเปรี้ยว, en:Dairy desserts, en:Dairy drinks, en:Fermented dairy desserts, en:Fermented drinks, en:Fermented milk drinks, นมเปรี้ยว, en:Drinkable yogurts","en:beverages,en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:fermented-milk-drinks,en:yogurts,en:drinkable-yogurts","Beverages,Dairies,Fermented foods,Desserts,Fermented milk products,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented milk drinks,Yogurts,Drinkable yogurts",,,,Thailand,en:thailand,Thailand,https://images.openfoodfacts.org/images/products/885/251/210/4095/front_th.4.400.jpg,https://images.openfoodfacts.org/images/products/885/251/210/4095/ingredients_th.12.400.jpg,https://images.openfoodfacts.org/images/products/885/251/210/4095/nutrition_th.10.400.jpg,75.0,1.0,0.75,,,,,,,14.0,11.5,,,,,,0.5,,,2.0,0.237,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นมเปรี้ยวรสลูกพรุน,"ริชเชส,Richesse","ริชเชส,richesse","เครื่องดื่ม, ผลิตภัณฑ์จากนม, en:Desserts, อาหารหมัก, กลุ่มผลิตภัณฑ์นมเปรี้ยว, en:Dairy desserts, en:Dairy drinks, en:Fermented dairy desserts, en:Fermented drinks, en:Fermented milk drinks, นมเปรี้ยว, en:Drinkable yogurts","en:beverages,en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:fermented-milk-drinks,en:yogurts,en:drinkable-yogurts","Beverages,Dairies,Fermented foods,Desserts,Fermented milk products,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented milk drinks,Yogurts,Drinkable yogurts",,,,Thailand,en:thailand,Thailand,https://images.openfoodfacts.org/images/products/885/251/210/4101/front_th.4.400.jpg,https://images.openfoodfacts.org/images/products/885/251/210/4101/ingredients_th.12.400.jpg,https://images.openfoodfacts.org/images/products/885/251/210/4101/nutrition_th.10.400.jpg,70.0,1.0,0.5,,,,,,,13.5,12.0,,,,,,0.5,,,2.0,0.225,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นมเปรี้ยวรสผลไม้รวม,"ริชเชส,Richesse","ริชเชส,richesse","เครื่องดื่ม, ผลิตภัณฑ์จากนม, en:Desserts, อาหารหมัก, กลุ่มผลิตภัณฑ์นมเปรี้ยว, en:Dairy desserts, en:Dairy drinks, en:Fermented dairy desserts, en:Fermented drinks, en:Fermented milk drinks, นมเปรี้ยว, en:Drinkable yogurts","en:beverages,en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:fermented-milk-drinks,en:yogurts,en:drinkable-yogurts","Beverages,Dairies,Fermented foods,Desserts,Fermented milk products,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented milk drinks,Yogurts,Drinkable yogurts",,,,Thailand,en:thailand,Thailand,https://images.openfoodfacts.org/images/products/885/251/230/4037/front_th.13.400.jpg,https://images.openfoodfacts.org/images/products/885/251/230/4037/ingredients_th.7.400.jpg,https://images.openfoodfacts.org/images/products/885/251/230/4037/nutrition_th.10.400.jpg,30.0,0.0,0.0,,,,,,,6.5,2.5,,,,,,3.0,,,1.5,0.106,,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นมเปรี้ยว รสลูกพรุน,"ริชเชส,Richesse","ริชเชส,richesse","เครื่องดื่ม, ผลิตภัณฑ์จากนม, en:Desserts, อาหารหมัก, กลุ่มผลิตภัณฑ์นมเปรี้ยว, en:Dairy desserts, en:Dairy drinks, en:Fermented dairy desserts, en:Fermented drinks, en:Fermented milk drinks, นมเปรี้ยว, en:Drinkable yogurts","en:beverages,en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:fermented-milk-drinks,en:yogurts,en:drinkable-yogurts","Beverages,Dairies,Fermented foods,Desserts,Fermented milk products,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented milk drinks,Yogurts,Drinkable yogurts",,,,Thailand,en:thailand,Thailand,https://images.openfoodfacts.org/images/products/885/251/230/4044/front_th.13.400.jpg,https://images.openfoodfacts.org/images/products/885/251/230/4044/ingredients_th.7.400.jpg,https://images.openfoodfacts.org/images/products/885/251/230/4044/nutrition_th.10.400.jpg,30.0,0.0,0.0,,,,,,,6.5,2.5,,,,,,3.0,,,1.5,0.106,,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
